    PID CMD                         %CPU
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
  66037 /opt/google/chrome/chrome -  9.6
   1756 /usr/bin/gnome-shell         4.7
    PID CMD                         %CPU
  71067 /usr/libexec/tracker-extrac 25.5
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
239 (irq/51-0 18494 18494
1756 (gnome-s978999 79923 1058922
3255 (chrome)585127 172659 757786
3220 (chrome)259112 73491 332603
1615 (Xorg)  179840 140294 320134
1524 (pulseau117480 184939 302419
1756 (gnome-s979709 80010 1059719
3255 (chrome)585128 172659 757787
3220 (chrome)259131 73497 332628
1756 (gnome-s979713 80010 1059723
3255 (chrome)585128 172659 757787
3220 (chrome)259131 73497 332628
1756 (gnome-s979716 80010 1059726
3255 (chrome)585128 172659 757787
3220 (chrome)259131 73497 332628
1756 (gnome-s979769 80019 1059788
3255 (chrome)585128 172659 757787
3220 (chrome)259133 73498 332631
1615 (Xorg)  180188 140480 320668
1524 (pulseau117480 184940 302420
1756 (gnome-s979771 80019 1059790
3255 (chrome)585128 172659 757787
3220 (chrome)259133 73498 332631
1615 (Xorg)  180188 140480 320668
1524 (pulseau117480 184940 302420
1756 (gnome-s979776 80019 1059795
3255 (chrome)585128 172659 757787
3220 (chrome)259133 73498 332631
1615 (Xorg)  180189 140480 320669
1524 (pulseau117480 184940 302420
1756 (gnome-s980660 80130 1060790
3255 (chrome)585128 172659 757787
3220 (chrome)259148 73502 332650
1615 (Xorg)  180593 140637 321230
1524 (pulseau117480 184941 302421
1756 (gnome-s981020 80162 1061182
3255 (chrome)585128 172659 757787
3220 (chrome)259154 73504 332658
1615 (Xorg)  180729 140704 321433
1524 (pulseau117480 184941 302421
1756 (gnome-s981021 80162 1061183
3255 (chrome)585128 172659 757787
3220 (chrome)259154 73504 332658
1615 (Xorg)  180729 140704 321433
1524 (pulseau117480 184941 302421
1756 (gnome-s981022 80162 1061184
3255 (chrome)585128 172659 757787
3220 (chrome)259154 73504 332658
1615 (Xorg)  180730 140704 321434
1524 (pulseau117480 184941 302421
1756 (gnome-s981072 80169 1061241
3255 (chrome)585128 172659 757787
1756 (gnome-s981072 80169 1061241
3255 (chrome)585128 172659 757787
1756 (gnome-s981074 80169 1061243
3255 (chrome)585128 172659 757787
1756 (gnome-s981181 80181 1061362
3255 (chrome)585128 172659 757787
1756 (gnome-s981182 80181 1061363
3255 (chrome)585128 172659 757787
1756 (gnome-s981189 80183 1061372
3255 (chrome)585128 172659 757787
1756 (gnome-shell) 999944 82683 1082627
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189437 144799 334236
3220 (chrome) 259695 73718 333413
1524 (pulseaudio) 117493 184958 302451
1756 (gnome-shell) 999945 82683 1082628
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189437 144800 334237
3220 (chrome) 259695 73718 333413
1524 (pulseaudio) 117493 184958 302451
1756 (gnome-shell) 999946 82683 1082629
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189438 144800 334238
3220 (chrome) 259695 73718 333413
1524 (pulseaudio) 117493 184958 302451
1756 (gnome-shell) 999951 82683 1082634
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189438 144800 334238
3220 (chrome) 259695 73718 333413
1524 (pulseaudio) 117493 184958 302451
1756 (gnome-shell) 999952 82683 1082635
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189438 144800 334238
3220 (chrome) 259695 73718 333413
1524 (pulseaudio) 117493 184958 302451
